                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    153,                0.54243,                0.38411,                0.89765,                0.89188,                0.84426,                0.88046,                0.69001,                0.84473,                0.71437,                 1.0362,              0.0004952,              0.0004952,              0.0004952
                    154,                0.54425,                0.37792,                0.88803,                0.86018,                0.84836,                 0.8804,                0.67412,                0.88622,                 0.7272,                 1.0469,              0.0004853,              0.0004853,              0.0004853
                    155,                0.50896,                0.37071,                 0.8747,                0.88612,                0.86107,                0.89038,                0.67779,                0.86948,                 0.7215,                 1.0506,              0.0004754,              0.0004754,              0.0004754
                    156,                 0.5337,                0.39158,                0.90375,                0.87452,                0.87295,                0.89046,                0.68579,                0.88047,                0.73705,                 1.0583,              0.0004655,              0.0004655,              0.0004655
                    157,                0.50861,                0.36687,                0.88552,                0.87729,                0.85656,                0.88544,                0.68398,                0.86988,                0.73706,                 1.0362,              0.0004556,              0.0004556,              0.0004556
                    158,                0.51466,                0.34943,                0.87905,                0.90096,                0.86885,                0.88949,                0.68457,                0.86272,                0.73238,                 1.0112,              0.0004457,              0.0004457,              0.0004457
                    159,                0.50848,                0.36147,                0.87386,                0.89306,                0.86885,                0.88635,                0.68784,                0.86653,                0.72056,                 1.0139,              0.0004358,              0.0004358,              0.0004358
                    160,                0.53088,                0.36912,                0.89164,                0.91729,                0.83197,                0.88464,                0.68382,                0.87701,                 0.6957,                 1.0103,              0.0004259,              0.0004259,              0.0004259
                    161,                0.51049,                 0.3694,                0.87784,                0.89969,                0.84016,                 0.8862,                0.68574,                0.88888,                 0.7093,                 1.0064,               0.000416,               0.000416,               0.000416
                    162,                0.53343,                0.37784,                0.89258,                0.87295,                0.86066,                0.88484,                0.68922,                0.86797,                 0.7348,                 1.0184,              0.0004061,              0.0004061,              0.0004061
                    163,                0.49383,                0.36277,                0.88624,                0.89257,                0.84016,                 0.8846,                0.69026,                0.89167,                0.74116,                  1.031,              0.0003962,              0.0003962,              0.0003962
                    164,                0.45836,                0.33975,                0.87705,                0.89628,                0.84993,                0.88861,                0.68094,                0.90169,                0.72212,                 1.0318,              0.0003863,              0.0003863,              0.0003863
                    165,                 0.5177,                0.36249,                0.88424,                0.86664,                0.87892,                0.89174,                0.68525,                0.90543,                0.71085,                 1.0366,              0.0003764,              0.0003764,              0.0003764
                    166,                0.45945,                 0.3372,                0.86202,                 0.8989,                0.87458,                 0.8927,                0.68833,                0.87594,                0.70449,                 1.0413,              0.0003665,              0.0003665,              0.0003665
                    167,                0.48023,                0.34226,                0.88256,                0.88564,                0.86885,                0.88986,                0.68899,                0.88358,                0.70583,                 1.0509,              0.0003566,              0.0003566,              0.0003566
                    168,                0.49712,                0.35673,                0.87934,                0.89842,                0.83197,                0.88662,                0.68265,                0.87744,                0.70382,                 1.0404,              0.0003467,              0.0003467,              0.0003467
                    169,                0.46496,                0.34065,                0.87597,                0.90027,                0.85088,                0.88616,                0.68149,                0.86962,                0.70692,                 1.0307,              0.0003368,              0.0003368,              0.0003368
                    170,                0.47302,                 0.3457,                0.88454,                0.90747,                0.84408,                0.88943,                0.69094,                0.87086,                0.69415,                 1.0318,              0.0003269,              0.0003269,              0.0003269
                    171,                0.46051,                0.33765,                0.87326,                0.88391,                0.84257,                0.88924,                0.68914,                0.87362,                0.69224,                 1.0394,               0.000317,               0.000317,               0.000317
                    172,                0.48031,                0.34854,                0.87776,                0.92256,                0.82997,                0.89509,                0.69132,                 0.8842,                0.70221,                 1.0413,              0.0003071,              0.0003071,              0.0003071
                    173,                0.49115,                0.34782,                0.88102,                0.92821,                0.84426,                0.90128,                0.69342,                0.86796,                0.68974,                  1.036,              0.0002972,              0.0002972,              0.0002972
                    174,                0.48167,                0.35026,                 0.8803,                0.90094,                0.87295,                0.90325,                0.68785,                0.87907,                0.68815,                 1.0381,              0.0002873,              0.0002873,              0.0002873
                    175,                0.46889,                0.33911,                0.87208,                0.88462,                0.86066,                 0.8956,                0.68902,                 0.8887,                0.70075,                 1.0247,              0.0002774,              0.0002774,              0.0002774
                    176,                 0.4738,                0.34392,                0.87777,                0.86217,                0.87165,                 0.8928,                0.69093,                0.87913,                 0.6905,                 1.0308,              0.0002675,              0.0002675,              0.0002675
                    177,                0.45269,                0.32286,                 0.8705,                0.86506,                0.86885,                0.89041,                0.68964,                0.87472,                0.68302,                 1.0246,              0.0002576,              0.0002576,              0.0002576
                    178,                0.46084,                0.32823,                0.87722,                0.87192,                0.86488,                0.88738,                0.68962,                0.88648,                0.68492,                  1.032,              0.0002477,              0.0002477,              0.0002477
                    179,                 0.4471,                0.31876,                0.86844,                0.89357,                 0.8602,                0.88565,                0.69275,                0.87062,                 0.6822,                 1.0261,              0.0002378,              0.0002378,              0.0002378
                    180,                0.47748,                0.34723,                0.88473,                0.89728,                0.85925,                 0.8916,                0.69463,                0.87571,                0.68385,                 1.0223,              0.0002279,              0.0002279,              0.0002279
                    181,                0.46226,                0.32942,                0.87364,                0.87204,                0.87705,                 0.8929,                0.69863,                0.87858,                0.70308,                 1.0251,               0.000218,               0.000218,               0.000218
                    182,                 0.4485,                0.33389,                0.86295,                0.88544,                0.85527,                0.88918,                0.70265,                0.84743,                0.69895,                 1.0136,              0.0002081,              0.0002081,              0.0002081
                    183,                 0.4519,                0.33262,                 0.8621,                0.88313,                0.86716,                0.89041,                0.69827,                0.85352,                0.68711,                 1.0162,              0.0001982,              0.0001982,              0.0001982
                    184,                0.44875,                0.32904,                0.87173,                0.88484,                0.86885,                0.89862,                0.69995,                 0.8675,                0.67171,                 1.0182,              0.0001883,              0.0001883,              0.0001883
                    185,                0.46481,                0.33021,                0.86179,                0.90809,                0.86885,                0.90067,                0.70136,                0.86167,                0.66029,                  1.009,              0.0001784,              0.0001784,              0.0001784
                    186,                0.44854,                0.32618,                0.87155,                0.90577,                0.86673,                0.90266,                0.70219,                0.85407,                 0.6435,                 1.0068,              0.0001685,              0.0001685,              0.0001685
                    187,                0.42747,                0.31375,                0.85881,                0.88961,                0.87295,                0.89871,                0.70679,                0.85809,                0.63912,                 1.0111,              0.0001586,              0.0001586,              0.0001586
                    188,                0.44186,                0.32952,                0.86068,                0.89027,                0.87295,                0.89374,                0.70011,                0.85554,                0.63549,                 1.0073,              0.0001487,              0.0001487,              0.0001487
                    189,                 0.4527,                0.32454,                0.86584,                0.89617,                0.88433,                0.89386,                0.69878,                0.87091,                0.63917,                 1.0191,              0.0001388,              0.0001388,              0.0001388
                    190,                0.42545,                 0.3187,                0.86599,                0.89388,                0.88115,                0.89254,                0.69506,                 0.8774,                0.64721,                 1.0181,              0.0001289,              0.0001289,              0.0001289
                    191,                0.42145,                0.32665,                0.83718,                0.88691,                0.87705,                0.88793,                0.68638,                 0.8807,                0.66526,                 1.0226,               0.000119,               0.000119,               0.000119
                    192,                 0.4266,                0.31046,                0.83645,                 0.8768,                0.88525,                0.88476,                0.68277,                0.88322,                0.67909,                 1.0225,              0.0001091,              0.0001091,              0.0001091
                    193,                0.39692,                0.30516,                0.82436,                0.87792,                0.88416,                0.88403,                0.68064,                0.87549,                0.67135,                  1.023,               9.92e-05,               9.92e-05,               9.92e-05
                    194,                0.42177,                0.30771,                0.84024,                0.86898,                0.89344,                0.88208,                0.67581,                0.86532,                0.66409,                 1.0236,               8.93e-05,               8.93e-05,               8.93e-05
                    195,                0.39661,                0.29676,                0.83805,                0.87675,                0.87705,                0.88166,                0.67786,                 0.8745,                0.66513,                 1.0349,               7.94e-05,               7.94e-05,               7.94e-05
                    196,                0.41898,                0.31048,                0.83599,                0.87497,                0.88908,                0.88312,                0.67821,                0.87822,                0.66476,                 1.0362,               6.95e-05,               6.95e-05,               6.95e-05
                    197,                0.40558,                0.30561,                0.83652,                0.89181,                0.87295,                0.88439,                0.67945,                0.87719,                0.66489,                 1.0362,               5.96e-05,               5.96e-05,               5.96e-05
                    198,                0.41267,                0.30648,                0.83628,                0.88108,                0.88525,                0.88535,                 0.6831,                0.87165,                0.66456,                 1.0293,               4.97e-05,               4.97e-05,               4.97e-05
                    199,                0.40064,                0.29962,                0.84063,                0.88189,                0.88525,                0.88805,                0.68496,                0.87347,                0.65638,                 1.0304,               3.98e-05,               3.98e-05,               3.98e-05
                    200,                0.38488,                0.29086,                 0.8223,                0.88273,                0.88525,                0.88818,                0.68697,                0.86945,                0.65722,                 1.0241,               2.99e-05,               2.99e-05,               2.99e-05
